,Date,Hour,ProductionLt100MW,ProductionGe100MW,OffshoreWindPower,OnshoreWindPower,SolarPower,ExchangeGreatBelt,ExchangeGermany,ExchangeNetherlands,ExchangeNorway,ExchangeSweden,BornholmSE4,Sum,Weekday,Month,HourDK
352,2020-01-15,17,498.20250000000004,774.6241666666666,1137.285,1918.6325,0.0008333333333333334,0.0,173.33249999999998,-700.1925,873.2766666666666,815.5366666666667,1.5058333333333334,5492.204166666666,2.0,1.0,2020-01-15 17:00:00
353,2020-01-15,18,494.71750000000003,788.4266666666667,1187.6408333333331,2078.273333333333,0.0,0.0,78.52333333333335,-700.2000000000002,896.6941666666667,476.15916666666664,-1.5041666666666667,5298.730833333334,2.0,1.0,2020-01-15 18:00:00
354,2020-01-15,19,482.3458333333333,739.8758333333334,1214.6908333333333,2072.1116666666667,0.0,0.0,-119.45916666666666,-700.2000000000002,626.2025,666.865,-7.011666666666667,4975.420833333334,2.0,1.0,2020-01-15 19:00:00
355,2020-01-15,20,477.08,680.8708333333333,1177.2866666666666,2075.6741666666667,0.0,0.0,151.36249999999998,-700.2000000000002,128.93666666666667,804.1041666666666,-10.08,4785.035,2.0,1.0,2020-01-15 20:00:00
356,2020-01-15,21,481.3533333333333,661.2825,1251.795,2219.8283333333334,0.0,0.0,281.7583333333333,-699.9416666666666,-269.5833333333333,624.6908333333333,-12.179166666666667,4539.004166666667,2.0,1.0,2020-01-15 21:00:00
357,2020-01-15,22,485.9975,745.5741666666667,1331.0883333333334,2393.8175,0.0,0.0,246.79166666666666,-699.9433333333333,-817.75,506.6691666666666,-14.156666666666666,4178.088333333334,2.0,1.0,2020-01-15 22:00:00
358,2020-01-15,23,489.62916666666666,652.4491666666667,1357.165,2519.790833333333,0.0,0.0,219.165,-699.6966666666667,-1337.5,673.7341666666666,-16.4975,3858.2391666666667,2.0,1.0,2020-01-15 23:00:00
359,2020-01-16,0,487.6666666666667,613.0,1373.6000000000001,2521.1825,0.0,0.0,408.26666666666665,-699.8408333333333,-1320.5,375.54583333333335,-10.8275,3748.0933333333337,3.0,1.0,2020-01-16 00:00:00
360,2020-01-16,1,475.7575,675.67,1300.3758333333333,2584.805,0.0,0.0,412.44750000000005,-651.6591666666667,-1366.75,135.115,-5.235,3560.526666666666,3.0,1.0,2020-01-16 01:00:00
361,2020-01-16,2,465.655,620.6033333333334,1290.3508333333332,2511.7133333333336,0.0,0.0,199.64583333333334,-698.0258333333333,-1366.4166666666667,466.83916666666664,-2.813333333333333,3487.5516666666663,3.0,1.0,2020-01-16 02:00:00
362,2020-01-16,3,486.23333333333335,622.475,1275.515,2467.999166666667,0.0,0.0,321.59250000000003,-699.8275,-1351.5833333333333,430.6091666666666,-8.926666666666668,3544.0866666666666,3.0,1.0,2020-01-16 03:00:00
363,2020-01-16,4,502.7558333333333,744.66,1261.2250000000001,2452.7758333333336,0.0,0.0,271.34999999999997,-699.7049999999999,-914.5,4.169166666666665,-9.015,3613.7158333333336,3.0,1.0,2020-01-16 04:00:00
364,2020-01-16,5,476.2516666666666,805.585,1254.5783333333334,2417.83,0.0,0.0,319.77500000000003,-700.0516666666666,-603.4166666666666,-99.66916666666667,-8.6075,3862.275,3.0,1.0,2020-01-16 05:00:00
365,2020-01-16,6,465.375,840.65,1280.42,2465.6775000000002,0.0,0.0,69.30916666666667,-700.21,-45.59166666666667,30.635833333333327,-4.826666666666667,4401.439166666666,3.0,1.0,2020-01-16 06:00:00
