Month,MunicipalityNo,OnshoreWindPower,OffshoreWindPower,SolarPower,CentralPower,DecentralPower
2022-02-01T00:00:00,561,29277.51314,169023.5452,488.648,86270.84482,12642.0653
2022-02-01T00:00:00,550,52558.69802,0,309.507,0,1054.276714
2022-02-01T00:00:00,540,4122.965255,0,1389.207,0,3614.230972
2022-02-01T00:00:00,530,27112.26673,0,206.648,0,1524.634748
2022-02-01T00:00:00,510,11624.49234,0,432.384,0,312.280268
2022-02-01T00:00:00,492,4753.541574,0,54.567,0,272.412629
2022-02-01T00:00:00,482,15415.95484,0,87.48,0,0
2022-02-01T00:00:00,480,6794.316415,0,175.71,0,238.043199
2022-02-01T00:00:00,479,9616.465937,0,433.498,0,2580.347754
2022-02-01T00:00:00,461,2541.754863,0,597.681,68286.43484,31583.2571
2022-02-01T00:00:00,450,7397.109892,0,140.845,0,2457.2676
2022-02-01T00:00:00,440,8786.869165,0,125.555,0,0
2022-02-01T00:00:00,430,4248.437905,0,344.979,0,295.592032
2022-02-01T00:00:00,420,8441.612385,0,424.291,0,2582.089256
2022-02-01T00:00:00,411,,,0,,
2022-02-01T00:00:00,410,3932.474239,0,296.577,0,383.47027
2022-02-01T00:00:00,400,12105.42016,0,855.909,5516.917,1701.223
2022-02-01T00:00:00,390,4666.467284,0,323.928,5134.7274,610.329681
2022-02-01T00:00:00,376,17551.12341,54314.20137,838.197,0,9914.695472
2022-02-01T00:00:00,370,19820.03568,0,2336.157,0,1630.624634
2022-02-01T00:00:00,360,101804.6354,101867.7335,2222.661,0,0
2022-02-01T00:00:00,350,1584.85318,0,197.292,0,217.740598
2022-02-01T00:00:00,340,2113.305298,0,144.546,0,125.217885
2022-02-01T00:00:00,336,2849.114878,0,165.814,0,66.037605
2022-02-01T00:00:00,330,10535.59157,8137.5487,1274.984,0,6931.344228
2022-02-01T00:00:00,329,2295.229943,0,176.497,0,76.169129
2022-02-01T00:00:00,326,28018.77323,0,1950.468,6280.341674,1335.56853
2022-02-01T00:00:00,320,8513.378821,0,418.306,0,2321.553608
2022-02-01T00:00:00,316,17425.88554,0,620.224,0,165.986891
2022-02-01T00:00:00,306,1095.712077,0,236.485,0,98.24896
2022-02-01T00:00:00,270,169.290408,0,250.872,0,513.27967
2022-02-01T00:00:00,269,59.327374,0,125.354,0,1088.36564
2022-02-01T00:00:00,265,818.034045,0,455.952,0,17895.57331
2022-02-01T00:00:00,260,1028.271571,0,177.975,0,0.36472
2022-02-01T00:00:00,259,703.429087,0,310.55,0,5880.967273
2022-02-01T00:00:00,253,172.050295,0,264.731,0,6.2941
2022-02-01T00:00:00,250,377.770044,0,177.127,606.8214,251.362524
2022-02-01T00:00:00,240,10.8416,0,189.358,0,78.994838
2022-02-01T00:00:00,230,,,163.002,0,39.07777
2022-02-01T00:00:00,223,,,62.204,0,6660.70425
2022-02-01T00:00:00,219,835.759899,0,253.46,0,2447.260975
2022-02-01T00:00:00,217,1.0458,0,141.904,0,7862.61672
2022-02-01T00:00:00,210,,,125.876,0,16.36884
2022-02-01T00:00:00,201,327.114833,0,150.219,0,34.90469
2022-02-01T00:00:00,190,,,95.683,0,8.31474
2022-02-01T00:00:00,187,,,29.576,0,0
2022-02-01T00:00:00,185,,,109.162,0,0
2022-02-01T00:00:00,183,0,0,81.201,0,0
2022-02-01T00:00:00,175,,,64.244,0,0
2022-02-01T00:00:00,173,,,130.157,0,2589.86802
2022-02-01T00:00:00,169,165.68118,0,290.944,0,3.22235
2022-02-01T00:00:00,167,479.117904,4907.5235,176.627,262371.2055,174.5264
2022-02-01T00:00:00,165,,,53.48,0,0
2022-02-01T00:00:00,163,,,110.278,0,0
2022-02-01T00:00:00,161,,,52.996,0,18274.8244
2022-02-01T00:00:00,159,,,120.78,0,0.06326
2022-02-01T00:00:00,157,,,95.244,0,0
2022-02-01T00:00:00,155,,,36.702,0,0
2022-02-01T00:00:00,153,,,104.26,0,0.00534
2022-02-01T00:00:00,151,,,206.457,0,49.63418
2022-02-01T00:00:00,147,,,53.161,0,0
2022-02-01T00:00:00,101,2413.206969,10605.8966,574.648,19925.06263,83977.80718
2022-01-01T00:00:00,999,12928.40608,519263.5397,,0,10245.2507
2022-01-01T00:00:00,860,36440.48644,0,281.429,0,7369.33781
2022-01-01T00:00:00,851,40689.00474,0,392.037,179133.0488,16803.74439
2022-01-01T00:00:00,849,66892.58524,0,203.415,0,1847.017957
2022-01-01T00:00:00,846,25037.77785,0,211.798,0,2447.82312
2022-01-01T00:00:00,840,13654.64881,0,158.003,0,3205.716262
2022-01-01T00:00:00,825,0,0,99.153,0,0.41676
2022-01-01T00:00:00,820,42402.57325,0,926.686,0,2743.40948
2022-01-01T00:00:00,813,12342.70069,1504.98,122.73,0,7505.55266
2022-01-01T00:00:00,810,27539.35766,0,156.389,0,6637.525208
2022-01-01T00:00:00,791,16107.06401,0,333.268,0,15855.74958
2022-01-01T00:00:00,787,62285.52856,0,1136.925,0,3137.173264
2022-01-01T00:00:00,779,33452.98707,0,714.164,0,5203.675893
2022-01-01T00:00:00,773,23874.72382,0,482.139,0,1001.84256
2022-01-01T00:00:00,766,6256.519838,0,163.046,0,1613.597944
